sim_name	configuration	prop_orientalis	run_id	selection	ini	run_root
dispersed_p40_r01	dispersed	0.4	1	sel_O	input/ini_files/run/dispersed_p40_r01_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/dispersed/p40/r01
dispersed_p40_r02	dispersed	0.4	2	sel_O	input/ini_files/run/dispersed_p40_r02_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/dispersed/p40/r02
dispersed_p40_r03	dispersed	0.4	3	sel_O	input/ini_files/run/dispersed_p40_r03_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/dispersed/p40/r03
dispersed_p40_r04	dispersed	0.4	4	sel_O	input/ini_files/run/dispersed_p40_r04_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/dispersed/p40/r04
dispersed_p40_r05	dispersed	0.4	5	sel_O	input/ini_files/run/dispersed_p40_r05_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/dispersed/p40/r05
one_cluster_p40_r01	one_cluster	0.4	1	sel_O	input/ini_files/run/one_cluster_p40_r01_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/one_cluster/p40/r01
one_cluster_p40_r02	one_cluster	0.4	2	sel_O	input/ini_files/run/one_cluster_p40_r02_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/one_cluster/p40/r02
one_cluster_p40_r03	one_cluster	0.4	3	sel_O	input/ini_files/run/one_cluster_p40_r03_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/one_cluster/p40/r03
one_cluster_p40_r04	one_cluster	0.4	4	sel_O	input/ini_files/run/one_cluster_p40_r04_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/one_cluster/p40/r04
one_cluster_p40_r05	one_cluster	0.4	5	sel_O	input/ini_files/run/one_cluster_p40_r05_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/one_cluster/p40/r05
multi_cluster_p40_r01	multi_cluster	0.4	1	sel_O	input/ini_files/run/multi_cluster_p40_r01_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/multi_cluster/p40/r01
multi_cluster_p40_r02	multi_cluster	0.4	2	sel_O	input/ini_files/run/multi_cluster_p40_r02_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/multi_cluster/p40/r02
multi_cluster_p40_r03	multi_cluster	0.4	3	sel_O	input/ini_files/run/multi_cluster_p40_r03_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/multi_cluster/p40/r03
multi_cluster_p40_r04	multi_cluster	0.4	4	sel_O	input/ini_files/run/multi_cluster_p40_r04_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/multi_cluster/p40/r04
multi_cluster_p40_r05	multi_cluster	0.4	5	sel_O	input/ini_files/run/multi_cluster_p40_r05_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/multi_cluster/p40/r05
transects_p40_r01	transects	0.4	1	sel_O	input/ini_files/run/transects_p40_r01_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/transects/p40/r01
transects_p40_r02	transects	0.4	2	sel_O	input/ini_files/run/transects_p40_r02_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/transects/p40/r02
transects_p40_r03	transects	0.4	3	sel_O	input/ini_files/run/transects_p40_r03_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/transects/p40/r03
transects_p40_r04	transects	0.4	4	sel_O	input/ini_files/run/transects_p40_r04_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/transects/p40/r04
transects_p40_r05	transects	0.4	5	sel_O	input/ini_files/run/transects_p40_r05_sel_O_k30_b0.03.ini	output/simulations/run/sel_O/transects/p40/r05
